,time,theta,psi
633,1.05500000000000000000E+01,1.87438353088449000000E+01,8.98931632150068000000E-03
634,1.05666666666667000000E+01,1.87580784541092000000E+01,7.09059522392752000000E-03
635,1.05833333333333000000E+01,1.87720702677327000000E+01,5.51082196100405000000E-03
636,1.06000000000000000000E+01,1.87860620813562000000E+01,3.93104869808081000000E-03
637,1.06166666666667000000E+01,1.88000538949798000000E+01,2.35127543515734000000E-03
638,1.06333333333333000000E+01,1.88138216088071000000E+01,1.34608243631307000000E-03
639,1.06500000000000000000E+01,1.88272973117572000000E+01,1.08959019413157000000E-03
640,1.06666666666667000000E+01,1.88407730147073000000E+01,8.33097951950079000000E-04
641,1.06833333333333000000E+01,1.88542487176574000000E+01,5.76605709768585000000E-04
642,1.07000000000000000000E+01,1.88677385758571000000E+01,3.94283407273210000000E-04
643,1.07166666666667000000E+01,1.88814430638295000000E+01,1.33656700798757000000E-03
644,1.07333333333333000000E+01,1.88951475518019000000E+01,2.27885060870181000000E-03
645,1.07500000000000000000E+01,1.89088520397743000000E+01,3.22113420941628000000E-03
646,1.07666666666667000000E+01,1.89227108149777000000E+01,4.41069711600095000000E-03
647,1.07833333333333000000E+01,1.89372170066256000000E+01,6.63788762134288000000E-03
648,1.08000000000000000000E+01,1.89517231982736000000E+01,8.86507812668524000000E-03
649,1.08166666666667000000E+01,1.89662293899215000000E+01,1.10922686320272000000E-02
650,1.08333333333333000000E+01,1.89812095087307000000E+01,1.38539632029802000000E-02
651,1.08500000000000000000E+01,1.89971828444913000000E+01,1.77358267406418000000E-02
652,1.08666666666667000000E+01,1.90131561802519000000E+01,2.16176902783043000000E-02
653,1.08833333333333000000E+01,1.90291295160124000000E+01,2.54995538159659000000E-02
654,1.09000000000000000000E+01,1.90461272420110000000E+01,3.04267661748741000000E-02
655,1.09166666666667000000E+01,1.90643589097779000000E+01,3.66131662193041000000E-02
656,1.09333333333333000000E+01,1.90825905775447000000E+01,4.27995662637350000000E-02
657,1.09500000000000000000E+01,1.91008222453115000000E+01,4.89859663081642000000E-02
658,1.09666666666667000000E+01,1.91211896165029000000E+01,5.74428086851233000000E-02
659,1.09833333333333000000E+01,1.91430771675921000000E+01,6.75157372439736000000E-02
660,1.10000000000000000000E+01,1.91649647186813000000E+01,7.75886658028240000000E-02
661,1.10166666666667000000E+01,1.91868522697706000000E+01,8.76615943616752000000E-02
662,1.10333333333333000000E+01,1.92087398208598000000E+01,9.77345229205255000000E-02
663,1.10500000000000000000E+01,1.92340577941231000000E+01,1.11632506107835000000E-01
664,1.10666666666667000000E+01,1.92620019777755000000E+01,1.28458816391426000000E-01
665,1.10833333333333000000E+01,1.92899461614279000000E+01,1.45285126675018000000E-01
666,1.11000000000000000000E+01,1.93178903450804000000E+01,1.62111436958609000000E-01
667,1.11166666666667000000E+01,1.93458345287328000000E+01,1.78937747242202000000E-01
668,1.11333333333333000000E+01,1.93784140876956000000E+01,2.01069530544693000000E-01
669,1.11500000000000000000E+01,1.94148077434226000000E+01,2.27566782901690000000E-01
670,1.11666666666667000000E+01,1.94512013991495000000E+01,2.54064035258679000000E-01
671,1.11833333333333000000E+01,1.94875950548765000000E+01,2.80561287615676000000E-01
672,1.12000000000000000000E+01,1.95239887106034000000E+01,3.07058539972665000000E-01
673,1.12166666666667000000E+01,1.95661393598740000000E+01,3.38977157141038000000E-01
674,1.12333333333333000000E+01,1.96133787370534000000E+01,3.75687832909236000000E-01
675,1.12500000000000000000E+01,1.96606181142328000000E+01,4.12398508677438000000E-01
676,1.12666666666667000000E+01,1.97078574914122000000E+01,4.49109184445639000000E-01
677,1.12833333333333000000E+01,1.97550968685915000000E+01,4.85819860213837000000E-01
678,1.13000000000000000000E+01,1.98083972082603000000E+01,5.23872769604573000000E-01
679,1.13166666666667000000E+01,1.98674509540490000000E+01,5.63199802560977000000E-01
680,1.13333333333333000000E+01,1.99265046998378000000E+01,6.02526835517384000000E-01
681,1.13500000000000000000E+01,1.99855584456265000000E+01,6.41853868473788000000E-01
682,1.13666666666667000000E+01,2.00470011881987000000E+01,6.78293575052244000000E-01
683,1.13833333333333000000E+01,2.01180711742091000000E+01,7.03097856200678000000E-01
684,1.14000000000000000000E+01,2.01891411602195000000E+01,7.27902137349115000000E-01
685,1.14166666666667000000E+01,2.02602111462298000000E+01,7.52706418497549000000E-01
686,1.14333333333333000000E+01,2.03312811322402000000E+01,7.77510699645987000000E-01
687,1.14500000000000000000E+01,2.04132726687396000000E+01,7.69209599763407000000E-01
688,1.14666666666667000000E+01,2.04966888053314000000E+01,7.56590255055826000000E-01
689,1.14833333333333000000E+01,2.05801049419232000000E+01,7.43970910348247000000E-01
690,1.15000000000000000000E+01,2.06635210785151000000E+01,7.31351565640667000000E-01
691,1.15166666666667000000E+01,2.07534690235221000000E+01,6.91906613216240000000E-01
692,1.15333333333333000000E+01,2.08483362444139000000E+01,6.32258593470858000000E-01
693,1.15500000000000000000E+01,2.09432034653058000000E+01,5.72610573725470000000E-01
694,1.15666666666667000000E+01,2.10380706861977000000E+01,5.12962553980088000000E-01
695,1.15833333333333000000E+01,2.11351120614100000000E+01,4.48648037030075000000E-01
696,1.16000000000000000000E+01,2.12384652175715000000E+01,3.70786225907459000000E-01
697,1.16166666666667000000E+01,2.13418183737331000000E+01,2.92924414784835000000E-01
698,1.16333333333333000000E+01,2.14451715298946000000E+01,2.15062603662219000000E-01
699,1.16500000000000000000E+01,2.15511004373732000000E+01,1.54930817356082000000E-01
700,1.16666666666667000000E+01,2.16589253420931000000E+01,1.07850010745743000000E-01
701,1.16833333333333000000E+01,2.17667502468130000000E+01,6.07692041353971000000E-02
702,1.17000000000000000000E+01,2.18745751515329000000E+01,1.36883975250512000000E-02
703,1.17166666666667000000E+01,2.19830619614614000000E+01,2.27440355399153000000E-02
704,1.17333333333333000000E+01,2.20916257618012000000E+01,3.83292610357255000000E-02
705,1.17500000000000000000E+01,2.22001895621410000000E+01,5.39144865315375000000E-02
706,1.17666666666667000000E+01,2.23080084758944000000E+01,8.05087899864319000000E-02
